Incident ID,Incident Date,Incident Month,Incident Year,State,City Or County,Direction,COORDINATES,Latitude and Longitude,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,FIPS,State_abbrev,Population per State,Shootings Per State,Shootings per 100k Citizens
2220985,2022-01-27T00:00:00Z,1,2022,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",4400 Connecticut Ave NW,1,4,0,0,1,11000,DC,689545,51,7.396181540001015
2562882,2023-04-02T00:00:00Z,4,2023,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",2900 block of Martin Luther King Jr Ave SE,0,4,0,0,0,11000,DC,689545,51,7.396181540001015
2077018,2021-07-28T00:00:00Z,7,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",3400 block of 22nd St SE,0,4,0,0,0,11000,DC,689545,51,7.396181540001015
1692912,2020-05-30T00:00:00Z,5,2020,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",300 block of 37th St SE,0,4,0,0,0,11000,DC,689545,51,7.396181540001015
1896774,2021-01-07T00:00:00Z,1,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",1300 block of Columbia Rd NW,0,5,0,0,0,11000,DC,689545,51,7.396181540001015
2085438,2021-08-08T00:00:00Z,8,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",3600 block of New York Ave NE,0,4,0,0,0,11000,DC,689545,51,7.396181540001015
1453884,2019-07-21T00:00:00Z,7,2019,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",2300 block of 15th St NE,0,4,0,0,0,11000,DC,689545,51,7.396181540001015
2784291,2023-12-21T00:00:00Z,12,2023,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",1399 Half St SW,2,2,0,0,0,11000,DC,689545,51,7.396181540001015
1911026,2021-01-25T00:00:00Z,1,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",1406 Good Hope Rd SE,1,3,0,1,2,11000,DC,689545,51,7.396181540001015
1969899,2021-04-06T00:00:00Z,4,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",4100 block of Ames St NE,0,4,0,0,0,11000,DC,689545,51,7.396181540001015
1965890,2021-03-31T00:00:00Z,3,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",1300 block of Congress St SE,2,3,0,0,1,11000,DC,689545,51,7.396181540001015
2284819,2022-04-22T00:00:00Z,4,2022,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",2900 block of Van Ness St NW,0,4,1,0,0,11000,DC,689545,51,7.396181540001015
2003167,2021-05-13T00:00:00Z,5,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",200 block of 37th Pl SE,1,3,0,0,0,11000,DC,689545,51,7.396181540001015
2396536,2022-08-24T00:00:00Z,8,2022,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",27 O Street NW,2,3,0,0,0,11000,DC,689545,51,7.396181540001015
2375886,2022-08-01T00:00:00Z,8,2022,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",444 16th St NE,1,5,0,0,0,11000,DC,689545,51,7.396181540001015
2274855,2022-04-09T00:00:00Z,4,2022,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",O St SW and Half St SW,0,4,0,0,2,11000,DC,689545,51,7.396181540001015
2005238,2021-05-15T00:00:00Z,5,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",3900 block of Minnesota Ave NE,1,3,0,0,1,11000,DC,689545,51,7.396181540001015
1978561,2021-04-15T00:00:00Z,4,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",1800 block of West Virginia Ave NE,0,4,0,0,0,11000,DC,689545,51,7.396181540001015
2136270,2021-10-08T00:00:00Z,10,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",1700 block of Independence Ave SE,1,3,0,0,0,11000,DC,689545,51,7.396181540001015
1406330,2019-05-27T00:00:00Z,5,2019,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",1200 block of Sumner Rd SE,0,5,0,0,0,11000,DC,689545,51,7.396181540001015
2107930,2021-09-04T00:00:00Z,9,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",700 block of Longfellow St NW,3,3,0,0,3,11000,DC,689545,51,7.396181540001015
2130370,2021-10-01T00:00:00Z,10,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",Forrester St SW and Galveston Pl SW,1,5,0,0,0,11000,DC,689545,51,7.396181540001015
2643453,2023-07-05T00:00:00Z,7,2023,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",4700 block of Meade St NE,0,9,0,0,0,11000,DC,689545,51,7.396181540001015
1405445,2019-05-26T00:00:00Z,5,2019,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",3509 Wheeler Rd SE,1,3,0,0,0,11000,DC,689545,51,7.396181540001015
2041555,2021-06-21T00:00:00Z,6,2021,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":303031573,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",300 block of 50th St NE,0,4,0,0,0,11000,DC,689545,51,7.396181540001015
2578168,2023-04-21T00:00:00Z,4,2023,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",500 block of Lebaum St SE,0,8,0,0,1,11000,DC,689545,51,7.396181540001015
1815308,2020-10-05T00:00:00Z,10,2020,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",400 block of Orange St SE,1,3,0,0,0,11000,DC,689545,51,7.396181540001015
1755297,2020-08-04T00:00:00Z,8,2020,DISTRICT OF COLUMBIA,WASHINGTON,"Washington, District of Columbia, USA","[{""place_id"":300781322,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]","38.8950368,-77.0365427",5400 block of Georgia Ave NW,0,4,0,0,0,11000,DC,689545,51,7.396181540001015
